STREET,,,TAXI,,,TONGUE,
bike,0.3,,avoid,0.16,,burn,0.06
block,0.48,,board,0.12,,carry,0.12
broken,0.19,,bomb,0.05,,check,0.03
brush,0.04,,branch,0,,clean,0.14
build,0.04,,call,0.2,,click,0.2
clean,0.12,,cradle,0.09,,cut,0.14
cross,0.27,,crash,0.33,,cut out,0.21
drive,0.2,,drink,0.07,,depress,0.03
escape,0.14,,drive,0.33,,eat,0.22
exercise,0.05,,explode,0.01,,electrify,0.09
exist,0.09,,fall,0.07,,flick,0.16
explore,0.06,,fear,0.1,,grasp,0.26
fly,0.05,,flip,0.13,,hear,0.36
formulate,0,,free,0.1,,hunt,0.17
gander,0.06,,fail,0.07,,kiss,0.25
jump,0.09,,hate,0.2,,laugh,0.3
laugh,0.18,,hire,0.14,,lick,0.33
lay,0.18,,hop,0.1,,loss,0.12
light,0.11,,illustrate,0.07,,pull,0.12
locate,0.06,,pay,0.17,,remove,0.11
meander,0.16,,ride,0.33,,repeat,0.13
move,0.08,,run,0.09,,roll,0.24
name,0.16,,see,0.3,,run,0.16
pass,0.11,,service,0.16,,season,0.08
pave,0.09,,shred,0.08,,sever,0.06
plow,0.03,,signify,0.06,,slap,0.42
ponder,0,,stray,0.13,,speak,0.29
read,0.1,,swallow,0.1,,spit,0.34
ride,0.27,,take,0.34,,stalk,0.03
run,0.24,,transport,0.05,,stick,0.19
sell,0.09,,twirl,0.04,,study,0.05
sex,-0.01,,wait,0.43,,swallow,0.62
signify,0.08,,walk,0.37,,tackle,0.07
skip,0.18,,wave,0.03,,taste,0.53
stand,0.07,,whistle,0.17,,tell,0.22
stroll,0.35,,yell,0.21,,tie,0.2
take,0.22,,,,,twist,0.2
talk,0.15,,,,,use,0.16
transport,0,,,,,waggle,0.14
walk,0.63,,,,,wobble,-0.01
wander,0.2,,,,,work,0.09
